ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3,Texture,Application time
120,Chai,2016,Atmospheric Environment,Ontario,1981,2010,Multiple Years,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Mixed,NA,"Liquid, Solid","Compost, Stockpile","Field, Storage ",Grass,F,F,F,T,NA,NA
121,Schwager,2016,Journal of Environmental Quality,Ontario,2011,2014,Multiple Years,Year-Round,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,Digester,Field,Annual crop,F,F,T,F,Fine,"Spring, Fall"
122,Alemu,2016,Agricultural Systems,Manitoba,2008,2011,Multiple Years,Year-Round,Farm,Modelling,Beef Cattle,Calves,Mixed,Diet,"Liquid, Solid",NA,"Enteric, Field, Storage","Annual crop, Grass",T,T,T,F,NA,NA
123,Hao,2015,Geomicrobiology Journal,Alberta,1999,1999,Single Year,Non-Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,NA,T,F,T,F,NA,NA
124,Benchaar,2015,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Diet,"Liquid, Solid",NA,Enteric,NA,F,T,F,F,NA,NA
125,Massé,2015,Bioresource Technology,Quebec,NA,NA,Single Year,NA,Pilot,Incubation,Dairy Cattle,Cows,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F,NA,NA
126,Saady,2015,Bioresource Technology,Quebec,NA,NA,Single Year,Year-Round,Pilot,Incubation,Dairy Cattle,Cows,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F,NA,NA
127,Tatti,2014,"Agriculture, Ecosystems and Environment",Quebec,2009,2011,Multiple Years,Non-Growing,Lab,Incubation,"Dairy Cattle, Poultry",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,NA,F,F,T,F,Med,NA
128,Stewart,2014,Canadian Journal of Animal Science,Manitoba,2004,2006,Multiple Years,Year-Round,Farm,Mixed,Beef Cattle,Steers,Mixed,NA,"Liquid, Solid",NA,"Enteric, Field, Storage","Grass, Perennial crop",F,T,T,T,Coarse,"Spring, Fall"
129,Rochette,2014,Journal of Environmental Quality,Quebec,2009,2011,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",NA,Field,Grass,F,F,T,F,Med,"Spring, Fall"
130,Hunerberg,2014,Agricultural Systems,Alberta,2008,2012,Single Year,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,Mixed,Diet,"Liquid, Solid",NA,"Enteric, Field, Storage","Annual crop, Grass ",F,T,T,F,NA,NA
131,Gao,2014,Canadian Journal of Soil Science,Manitoba,2006,2007,Multiple Years,Growing,Field,Soil chamber,Swine,"Finishers, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,T,T,T,F,Coarse,Spring
132,Asgedom,2014,Agronomy Journal,Manitoba,2009,2010,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F,Fine,Fall
133,Tartakovsky,2014,Journal of Chemical Technology and Biotechnology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Cows,Indoor,NA,Liquid,"Agitation, Digester",Storage,NA,T,T,F,F,NA,NA
134,Ngwabie,2014,Biosystems Engineering,Ontario,2012,2012,Single Year,Non-Growing,Farm,"Micrometeorology, Modelling",Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,T,T,T,T,NA,NA
135,VanderZaag,2014,Agricultural and Forest Meteorology,Ontario,2011,2012,Single Year,Non-Growing,Farm,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage ",NA,F,T,F,F,NA,NA
136,Rees,2014,Canadian Journal of Soil Science,New Brunswick,2001,2003,Multiple Years,Growing,Lab,Incubation,"Poultry, Swine",Whole herd,Indoor,NA,Solid,NA,Field,NA,T,F,F,F,Med,NA
137,Wood,2014,Nutrient Cycling in Agroecosystems,Nova Scotia,2011,2011,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T,NA,NA
138,Drury,2014,Canadian Journal of Soil Science,Ontario,1999,2001,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,Compost,Field,Annual crop,T,F,T,F,Med,Fall
139,Jayasundara,2014,Canadian Journal of Animal Science,Ontario,1999,2011,Multiple Years,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",Annual crop,F,T,T,F,NA,NA
140,Massé,2014,Applied Energy,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,T,NA,NA
141,Taylor,2013,Agricultural and Forest Meteorology,Manitoba,2009,2011,Multiple Years,Growing,Field,Micrometeorology,Beef Cattle,"Calves, Cows",Outdoor,NA,"Liquid, Solid",NA,Field,Annual crop,T,F,F,F,"Med, Fine",NA
142,Massé,2013,Environmental Technology,Quebec,NA,NA,Single Year,Year-Round,Lab,Incubation,Swine,Growers,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
143,Fraser,2013,Canadian Journal of Soil Science,Manitoba,2009,2009,Single Year,Year-Round,Field,Micrometeorology,Beef Cattle,"Calves, Cows",Outdoor,NA,"Liquid, Solid",NA,Field,"Annual crop, Grass ",T,F,F,F,Fine,Fall
144,Giard,2013,Environmental Technology,Quebec,2010,2010,Single Year,Growing,Farm,Soil chamber,Swine,Growers,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F,NA,NA
145,Zhang,2013,Bioresource Technology,British Columbia,2006,2006,Single Year,Year-Round,LCA,Mixed,"Dairy Cattle, Poultry, Swine",Whole herd,Indoor,NA,Liquid,NA,"Enteric, Storage ",NA,F,T,T,T,NA,NA
146,Flesch,2013,Canadian Journal of Animal Science,Alberta,2010,2011,Single Year,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
147,Hassanat,2013,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Diet,"Liquid, Solid",NA,Enteric,NA,F,T,F,F,NA,NA
148,Wood,2013,Agricultural and Forest Meteorology,Nova Scotia,2010,2010,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,F,NA,NA
149,Barret,2013,Water Research,Quebec,2010,2011,Single Year,Year-Round,Lab,Incubation,"Dairy Cattle, Swine",Whole herd,Indoor,NA,Liquid,"Agitation, Digester",Storage,NA,F,T,F,F,NA,NA
150,Saady,2013,Bioresource Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
151,Chantigny,2013,Journal of Environmental Quality,Quebec,2006,2007,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,Digester,Field,Annual crop,F,F,T,F,Fine,Spring
152,Miller,2012,Canadian Journal of Soil Science,Alberta,2007,2010,Multiple Years,Growing,Lab,Incubation,Beef Cattle,Whole herd,Indoor,NA,Solid,"Compost, Stockpile",Field,Annual crop,F,F,T,F,Fine,NA
153,Wood,2012,Journal of Environmental Quality,Nova Scotia,2010,2010,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T,NA,NA
154,Girard,2012,Journal of Chemical Technology and Biotechnology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Solid-Liquid Separation,Storage,NA,F,T,F,F,NA,NA
155,Frigon,2012,Bioprocess and Biosystems Engineering,Quebec,2008,2008,Single Year,NA,Lab,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
156,Kariyapperuma,2012,Canadian Journal of Soil Science,Ontario,2005,2006,Multiple Years,Non-Growing,Field,Micrometeorology,Swine,Whole herd,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F,Med,Fall
157,McGinn,2012,Journal of Environmental Quality,Alberta,2004,2005,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,Whole herd,Mixed,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,F,T,F,F,NA,NA
158,Basarab,2012,Animals,Alberta,2008,2010,Single Year,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,Mixed,NA,"Liquid, Solid",Digester,"Enteric, Field, Storage","Annual crop, Grass",F,T,T,F,"Med, Fine",NA
159,Fournel,2012,Animals,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Poultry,Layers,Indoor,NA,Liquid,NA,Storage,NA,T,T,T,F,NA,NA
160,Pelster,2012,Journal of Environmental Quality,Quebec,2009,2010,Multiple Years,Growing,Field,Soil chamber,"Dairy Cattle, Poultry, Swine","Broilers, Finishers, Growers, Whole herd",Indoor,NA,Liquid,NA,Field,Annual crop,T,F,T,F,"Med, Fine",Spring
161,Xia,2012,Waste Management,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F,NA,NA
162,Tremorin,2012,Animal Feed Science and Technology,Manitoba,2004,2005,Multiple Years,Growing,Field,Soil chamber,Beef Cattle,Steers,Outdoor,NA,Solid,NA,Field,Perennial crop,F,F,T,F,Coarse,Fall
163,VanderZaag,2011,Animal Feed Science and Technology,Ontario,2003,2003,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,"Cows, Heifers",Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
164,Flesch,2011,Biomass and Bioenergy,Alberta,2008,2009,Single Year,Year-Round,Farm,Micrometeorology,Beef Cattle,Whole herd,Indoor,NA,"Liquid, Solid",Digester,Storage,NA,F,T,F,F,NA,NA
165,Hao,2011,Animal Feed Science and Technology,Alberta,2009,2010,Single Year,Non-Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Indoor,Diet,Solid,Compost,Storage,NA,T,T,T,F,NA,NA
166,Chiyoka,2011,Animal Feed Science and Technology,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Whole herd,Indoor,NA,"Liquid, Solid","Digester, Pellet, Solid-liquid Separation",Field,NA,T,F,T,F,"Med, Fine",NA
167,Hao,2011,Nutrient Cycling in Agroecosystems,Alberta,2004,2006,Multiple Years,Year-Round,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,Antibiotics,Solid,Compost,Storage,NA,T,T,T,F,NA,NA
168,Hao,2011,Nutrient Cycling in Agroecosystems,Alberta,2007,2007,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,"Compost, Stockpile",Storage,NA,T,T,T,F,NA,NA
169,Beauchemin,2010,Agricultural Systems,Alberta,2001,2008,Multiple Years,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Enteric, Field, Storage","Annual crop, Grass",F,T,T,F,NA,NA
170,VanderZaag,2010,Applied Engineering in Agriculture,Nova Scotia,2008,2008,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Agitation, Cover",Storage,NA,T,T,T,T,NA,NA
171,VanderZaag,2010,Canadian Journal of Soil Science,Nova Scotia,2006,2007,Single Year,Non-Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Agitation,Storage,NA,T,T,T,T,NA,NA
172,MacDonald,2010,Soil Science Society of America Journal,Quebec,2007,2008,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,T,F,F,F,Med,NA
173,Roumeliotis,2010,Atmospheric Environment,Ontario,2005,2009,Multiple Years,Year-Round,Farm,Animal chamber,Poultry,Broilers,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
174,Chantigny,2010,Journal of Environmental Quality,Quebec,2004,2006,Multiple Years,Growing,Field,Soil chamber,Swine,"Finishers, Growers",Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Field,Annual crop,F,F,T,F,"Med, Fine",Spring
175,Gilroyed,2010,Bioresource Technology,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,T,NA,NA
176,Tenuta,2010,"Agriculture, Ecosystems and Environment",Manitoba,2004,2006,Multiple Years,Year-Round,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,T,T,T,F,Coarse,Fall
177,Park,2010,Agricultural and Forest Meteorology,Ontario,2006,2006,Single Year,Growing,Farm,"Micrometeorology, Soil chamber",Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
178,Park,2010,Asian-Australasian Journal of Animal Sciences,Ontario,2001,2002,Single Year,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,F,NA,NA
179,Huang,2010,Canadian Journal of Soil Science,Manitoba,NA,NA,Single Year,NA,Lab,"Incubation, Modelling",Swine,Sows,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F,NA,NA
180,Wilson,2010,Canadian Journal of Animal Science,Manitoba,2004,2006,Multiple Years,Growing,Farm,Collar,Beef Cattle,Steers,Outdoor,NA,"Liquid, Solid",NA,Enteric,NA,F,T,F,F,NA,NA
181,VanderZaag,2009,Transactions of the ASABE,Nova Scotia,2007,2007,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Agitation, Cover",Storage,NA,T,T,T,T,NA,NA
182,Hao,2009,Nutrient Cycling in Agroecosystems,Alberta,2006,2006,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Cows,Indoor,NA,Solid,Compost,Storage,NA,T,T,T,F,NA,NA
183,Mkhabela,2009,"Agriculture, Ecosystems and Environment",Nova Scotia,2003,2004,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,F,F,T,T,Med,"Spring, Fall"
184,Bhandral,2009,Journal of Environmental Quality,British Columbia,2005,2006,Multiple Years,Growing,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,T,Med,"Spring, Fall"
185,Miller,2009,Soil Science Society of America Journal,New Brunswick,2006,2006,Single Year,Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F,Med,NA
186,McGinn,2009,Canadian Journal of Animal Science,Alberta,2008,2008,Single Year,Growing,Farm,Collar,Beef Cattle,Steers,Indoor,Diet,Liquid,NA,Enteric,NA,F,T,F,F,NA,NA
187,Massé,2008,Transactions of the ASABE,Quebec,2007,2007,Single Year,Year-Round,Farm,Modelling,Dairy Cattle,Cows,Mixed,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
188,Mkhabela,2008,Soil and Tillage Research,Nova Scotia,2003,2005,Multiple Years,"Non-Growing, Year-Round","Field, Lab","Incubation, Soil chamber","Beef Cattle, Dairy Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,F,F,T,T,Fine,Fall
189,Stewart,2008,Canadian Journal of Animal Science,Manitoba,2004,2006,Multiple Years,Growing,Farm,Collar,Beef Cattle,Steers,Indoor,NA,"Liquid, Solid",NA,Enteric,NA,T,T,F,F,NA,NA
190,Rochette,2008,Canadian Journal of Soil Science,National,1990,2005,Multiple Years,Year-Round,Field,Modelling,"Beef Cattle, Dairy Cattle, Horse, Poultry, Sheep, Swine",Whole herd,Mixed,NA,"Liquid, Solid",NA,Field,"Annual crop, Grass, Perennial crop",F,F,T,F,"Med, Fine",NA
191,Bhandral,2008,Canadian Journal of Soil Science,British Columbia,2001,2002,Multiple Years,Growing,"Field, Lab","Incubation, Soil chamber",Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,F,F,T,F,Med,Spring
192,McDonald,2008,Journal of Environmental Engineering and Science,Alberta,2005,2005,Single Year,Year-Round,Lab,Incubation,"Dairy Cattle, Poultry, Swine",Whole herd,Mixed,NA,"Liquid, Solid",Digester,Storage,NA,F,T,F,F,NA,NA
193,Ellert,2008,Canadian Journal of Soil Science,Alberta,2001,2003,Multiple Years,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,NA,Field,Annual crop,T,T,T,F,Med,Fall
194,Sey,2008,Soil Science Society of America Journal,Quebec,2002,2003,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Compost,Field,Annual crop,T,F,T,F,Med,Spring
195,Yang,2008,Nutrient Cycling in Agroecosystems,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F,"Med, Fine",NA
196,Gao,2008,Journal of the Air & Waste Management Association,Ontario,2006,2006,Single Year,Growing,Farm,Micrometeorology,NA,NA,Indoor,NA,"Liquid, Solid",NA,Storage,NA,F,T,F,F,NA,NA
197,Sun,2008,Journal of the Air & Waste Management Association,Saskatchewan,2004,2005,Single Year,Year-Round,Farm,Animal chamber,Swine,Whole herd,Indoor,NA,"Liquid, Solid",NA,Storage,NA,T,F,F,T,NA,NA
198,Smith,2008,Canadian Journal of Soil Science,Prince Edward Island,2003,2005,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,F,F,T,T,Med,"Spring, Fall"
199,Pattey,2008,Canadian Journal of Soil Science,Quebec,2003,2004,Single Year,Growing,Field,Micrometeorology,Dairy Cattle,Cows,Indoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F,Med,Fall
200,Mkhabela,2008,Canadian Journal of Soil Science,Nova Scotia,2005,2005,Single Year,Growing,Field,Soil chamber,Swine,"Growers, Sows",Indoor,NA,Liquid,NA,Field,Perennial crop,F,F,T,F,Med,"Spring, Fall"
201,Rochette,2008,Canadian Journal of Soil Science,Quebec,2002,2003,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",Stockpile,Field,Annual crop,F,F,T,F,"Med, Fine",Spring
202,Vergé,2007,Agricultural Systems,National,2001,2001,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Mixed,NA,"Liquid, Solid",NA,"Enteric, Field, Storage","Annual crop, Grass",F,T,T,F,NA,NA
203,Levin,2007,Bioresource Technology,National,2001,2001,Single Year,Year-Round,Farm,Modelling,"Beef Cattle, Dairy Cattle, Poultry, Swine",Whole herd,Mixed,NA,"Liquid, Solid",NA,Storage,NA,F,T,F,F,NA,NA
204,Hutchinson,2007,Canadian Journal of Soil Science,National,1981,2001,Multiple Years,Year-Round,Field,Modelling,"Beef Cattle, Dairy Cattle, Horse, Poultry, Sheep, Swine",Whole herd,Mixed,NA,"Liquid, Solid",NA,Field,"Annual crop, Grass, Perennial crop",F,F,T,F,"Med, Fine",NA
205,Chantigny,2007,Journal of Environmental Quality,Quebec,2001,2003,Multiple Years,Growing,Field,Soil chamber,Swine,Finishers,Indoor,NA,Liquid,Solid-Liquid Separation,Field,Annual crop,F,F,T,T,Med,Spring
206,Xu,2007,Journal of Environmental Quality,Alberta,2004,2005,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Storage,Grass,T,T,T,F,NA,NA
207,Xu,2007,Nutrient Cycling in Agroecosystems,Alberta,2004,2005,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Storage,Grass,T,T,T,F,NA,NA
208,Hao,2007,Nutrient Cycling in Agroecosystems,Alberta,2002,2003,Single Year,Year-Round,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Storage,NA,T,T,T,F,NA,NA
209,Hao,2007,Canadian Journal of Soil Science,Alberta,2002,2002,Single Year,Growing,Lab,Incubation,Beef Cattle,Steers,Indoor,Diet,Liquid,NA,Storage,NA,T,T,T,T,NA,NA
210,Angers,2007,Soil Biology and Biochemistry,Quebec,1998,1998,Single Year,Growing,Field,Soil chamber,Swine,Finishers,Indoor,NA,Liquid,NA,Field,NA,T,F,F,F,Coarse,Spring
211,Wagner-Riddle,2006,Agricultural and Forest Meteorology,Ontario,2001,2002,Single Year,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,F,NA,NA
212,Park,2006,Atmospheric Environment,Ontario,2000,2002,Multiple Years,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,Agitation,Storage,NA,F,T,F,F,NA,NA
213,Mkhabela,2006,Chemosphere,Nova Scotia,2005,2005,Single Year,Growing,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,T,T,Med,NA
214,Mkhabela,2006,Plant and soil,Nova Scotia,NA,NA,Single Year,Growing,Field,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,T,T,Med,NA
215,Rochette,2006,Soil Science Society of America Journal,Quebec,2002,2003,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",Stockpile,Field,Annual crop,T,F,F,F,"Med, Fine",Spring
216,Lague,2005,Transactions of the American Society of Agricultural Engineers,Saskatchewan,2001,2003,Multiple Years,Growing,Farm,Soil chamber,Swine,"Finishers, Growers",Indoor,NA,Liquid,Cover,Storage,NA,T,T,T,F,NA,NA
217,Pattey,2005,Nutrient Cycling in Agroecosystems,Ontario,2003,2003,Multiple Years,Growing,Pilot,Soil chamber,"Beef Cattle, Dairy Cattle",Whole herd,Indoor,NA,"Liquid, Solid","Compost, Stockpile",Storage,NA,T,T,T,F,NA,NA
218,Pennock,2005,Canadian Journal of Soil Science,Saskatchewan,2001,2002,Single Year,Non-Growing,Field,Soil chamber,Beef Cattle,NA,NA,NA,NA,NA,Field,Annual crop,F,F,T,F,NA,NA
219,Clark,2005,Journal of Environmental Quality,Alberta,2003,2004,Single Year,Year-Round,Pilot,Incubation,Swine,Whole herd,Indoor,Diet,Liquid,"Agitation, Digester",Storage,NA,T,T,T,F,NA,NA
220,Hao,2005,Journal of Environmental Quality,Alberta,2002,2002,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Steers,Outdoor,NA,Solid,"Acidification, Compost",Storage,Grass,T,T,T,F,NA,NA
221,Helgason,2005,Canadian Journal of Soil Science,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Field,NA,T,F,F,F,"Med, Coarse",NA
222,Rochette,2004,Soil Science Society of America Journal,Quebec,1998,1999,Single Year,Year-Round,Field,Soil chamber,Swine,"Finishers, Sows",Indoor,NA,Solid,NA,Field,Annual crop,T,F,T,F,Med,"Spring, Fall"
223,Sommer,2004,Atmospheric Environment,Alberta,2003,2003,Single Year,Growing,Farm,"Micrometeorology, Soil chamber",Beef Cattle,Whole herd,Indoor,NA,Solid,Compost,Storage,NA,T,T,T,T,NA,NA
224,Thompson,2004,Envrionmental Monitoring and Assessment,Ontario,2000,2000,Single Year,Growing,Farm,Soil chamber,Swine,"Finishers, Growers",Indoor,NA,Liquid,Compost,Storage,NA,F,T,T,F,NA,NA
225,Boadi,2004,Canadian Journal of Animal Science,Manitoba,2001,2002,Single Year,Non-Growing,Farm,"Collar, Soil chamber",Beef Cattle,Steers,Indoor,Diet,"Liquid, Solid",Stockpile,"Enteric, Storage",NA,T,T,T,F,NA,NA
226,Yang,2004,Canadian Journal of Soil Science,Ontario,2001,2002,Single Year,Growing,Lab,Incubation,Swine,Whole herd,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F,Fine,NA
227,Hao,2004,Journal of Environmental Quality,Alberta,2000,2000,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Indoor,NA,Solid,Compost,Storage,NA,T,T,T,F,NA,NA
228,Massé,2003,Canadian Biosystems Engineering ,Quebec,2002,2002,Single Year,Growing,Lab,Incubation,"Dairy Cattle, Swine","Cows, Finishers, Growers",Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
229,Lalande,2003,Canadian Journal of Soil Science,Quebec,1997,1997,Single Year,Growing,Lab,Incubation,Swine,Finishers,Indoor,NA,Liquid,Compost,Field,NA,T,F,F,F,Coarse,NA
230,Yang,2003,Canadian Journal of Soil Science,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Compost,Field,Annual crop,T,F,T,F,Fine,NA
231,Massé,2003,Bioresource Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,"Finishers, Growers",Indoor,NA,Liquid,"Agitation, Digester, Solid-Liquid Separation",Storage,NA,T,T,F,T,NA,NA
232,Nohra,2003,"Resources, Conservation & Recycling",Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Finishers,Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Storage,NA,F,T,F,T,NA,NA
233,Brown,2002,Nutrient Cycling in Agroecosystems,Ontario,1998,1998,Single Year,Growing,Farm,Micrometeorology,Dairy Cattle,"Calves, Cows",Indoor,NA,Solid,Stockpile,Storage,NA,F,F,T,F,NA,NA
234,Chantigny,2002,Soil Biology and Biochemistry,Quebec,1998,1998,Single Year,Non-Growing,Lab,Incubation,"Dairy Cattle, Swine",Whole herd,Indoor,NA,"Liquid, Solid","Solid-Liquid Separation, Stockpile",Field,NA,T,F,T,F,"Med, Fine",NA
235,Yang,2002,Canadian Journal of Soil Science,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Compost,Field,NA,T,F,T,F,Fine,NA
236,Van Bochove,2001,Journal of Geophysical Research Atmospheres,Quebec,1998,1999,Single Year,Non-Growing,Field,Soil chamber,Swine,Sows,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,NA
237,Hao,2001,Journal of Environmental Quality,Alberta,1997,1997,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Storage,NA,T,T,T,F,NA,NA
238,Chantigny,2001,Canadian Journal of Soil Science,Quebec,1998,1998,Single Year,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F,Coarse,Spring
239,Kaharabata,2000,Environmental Science and Technology,Ontario,1996,1996,Single Year,Growing,Farm,Micrometeorology,Dairy Cattle,Heifers,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,F,T,F,F,NA,NA
240,Massé,2000,Bioresource Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Growers,Indoor,Antibiotics,"Liquid, Solid",Digester,Storage,NA,F,T,F,T,NA,NA
241,Massé,2000,Water Research,Quebec,NA,NA,Single Year,NA,Lab,Modelling,Swine,"Finishers, Growers",Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
